lang_name1	lang_name2	lang_name3	lang_code	lang_desc
Mingrelian			xmf	Mingrelian
Mirandese			mwl	Mirandese
Miwok	Central Sierra Miwok		csm	Central Sierra Miwok
Mizo			lus	Mizo
Moksha			mdf	Moksha
Mon			mnw	Mon
Mongolian			mn	Mongolian
Mongolian	Cyrillic		mn_Cyrl	Mongolian: Cyrillic
Mongolian	Mongolian script		mn_Mong	Mongolian: Mongolian script
Moore			mos	Moore
Mwani			wmw	Mwani
Mòcheno			mhn	Mòcheno
Māori			mi	Māori
Naga	Khiamniungan Naga		kix	Khiamniungan Naga
Nahuatl			nah	Nahuatl
Nahuatl	Classical Nahuatl		nci	Classical Nahuatl
Nanai			gld	Nanai
Navajo			nv	Navajo
Neapolitan			nap	Neapolitan
Nepali			ne	Nepali
Newar			new	Newar
Nivkh			niv	Nivkh
Nogai			nog	Nogai
Norman			nrf	Norman
Norwegian			no	Norwegian
Norwegian	Bokmål		nb	Norwegian: Bokmål
Norwegian	Nynorsk		nn	Norwegian: Nynorsk
Nǀuu			ngh	Nǀuu
Occitan			oc	Occitan
Occitan	Old Occitan		pro	Old Occitan
Odia			or	Odia
Ojibwe			oj	Ojibwe
Okinawan			ryu	Okinawan
Old Church Slavonic			cu	Old Church Slavonic
Old Church Slavonic	Cyrillic		cu_Cyrs	Old Church Slavonic: Cyrillic
Old Church Slavonic	Glagolitic		cu_Glag	Old Church Slavonic: Glagolitic
Old East Slavic			orv	Old East Slavic
Old English			ang	Old English
Old Galician-Portuguese			roa-opt	Old Galician-Portuguese
Old Norse			non	Old Norse
Old Prussian			prg	Old Prussian
Old Saxon			osx	Old Saxon
Old Tupi			tpw	Old Tupi
Old Turkic			otk	Old Turkic
Oromo			om	Oromo
Ossetian			os	Ossetian
Pali			pi	Pali
Pangasinan			pag	Pangasinan
Pannonian Rusyn			rsk	Pannonian Rusyn
Papiamentu			pap	Papiamentu
Pashto			ps	Pashto
Pennsylvania German			pdc	Pennsylvania German
Persian			fa	Persian
Persian	Classical Persian		fa-cls	Persian: Classical Persian
Persian	Dari		prs	Persian: Dari
Persian	Iranian Persian		fa-ira	Persian: Iranian Persian
Persian	Middle Persian		pal	Middle Persian
Picard			pcd	Picard
Piedmontese			pms	Piedmontese
Pitjantjatjara			pjt	Pitjantjatjara
Plautdietsch			pdt	Plautdietsch
Pohnpeian			pon	Pohnpeian
Polabian			pox	Polabian
Polish			pl	Polish
Portuguese			pt	Portuguese
Portuguese	Brazilian Portuguese		pt-BR	Portuguese: Brazilian Portuguese
Portuguese	European Portuguese		pt-PT	Portuguese: European Portuguese
Punjabi			pa	Punjabi
Punjabi	Gurmukhi		pa_Guru	Punjabi: Gurmukhi
Punjabi	Shahmukhi		pa_Aran	Punjabi: Shahmukhi
Punjabi	Western Punjabi		pnb	Punjabi: Western Punjabi
Quechua			qu	Quechua
Rapa Nui			rap	Rapa Nui
Rarotongan			rar	Rarotongan
Rohingya			rhg	Rohingya
Romagnol			rgn	Romagnol
Romani			rom	Romani
Romanian			ro	Romanian
Romansh			rm	Romansh
Russian			ru	Russian
Rwanda-Rundi			rw	Rwanda-Rundi
Réunion Creole French			rcf	Réunion Creole French
Sami	Inari Sami		smn	Inari Sami
Sami	Kildin Sami		sjd	Kildin Sami
Sami	Lule Sami		smj	Lule Sami
Sami	Northern Sami		se	Northern Sami
Sami	Skolt Sami		sms	Skolt Sami
Sami	Southern Sami		sma	Southern Sami
Samoan			sm	Samoan
Samogitian			sgs	Samogitian
Sanskrit			sa	Sanskrit
Santali			sat	Santali
Sardinian			sc	Sardinian
Sardinian	Campidanese		sc-sro	Sardinian: Campidanese
Sardinian	Logudorese		sc-src	Sardinian: Logudorese
Sassarese			sdc	Sassarese
Scots			sco	Scots
Scottish Gaelic			gd	Scottish Gaelic
Serbo-Croatian			sh	Serbo-Croatian
Serbo-Croatian	Cyrillic		sh_Cyrl	Serbo-Croatian: Cyrillic
Serbo-Croatian	Latin		sh_Latn	Serbo-Croatian: Latin
Shan			shn	Shan
Shona			sn	Shona
Shor			cjs	Shor
Sicilian			scn	Sicilian
Sidamo			sid	Sidamo
Sikkimese			sip	Sikkimese
Silesian			szl	Silesian
Sindhi			sd	Sindhi
Sinhalese			si	Sinhalese
Slovak			sk	Slovak
Slovene			sl	Slovene
Somali			so	Somali
Sorbian	Lower Sorbian		dsb	Lower Sorbian
Sorbian	Upper Sorbian		hsb	Upper Sorbian
Sotho			st	Sotho
Southern Altai			alt	Southern Altai
Spanish			es	Spanish
Sranan Tongo			srn	Sranan Tongo
Sumerian			sux	Sumerian
Sundanese			su	Sundanese
Svan			sva	Svan
Swahili			sw	Swahili
Swedish			sv	Swedish
Sylheti			syl	Sylheti
Tabasaran			tab	Tabasaran
Tagalog			tl	Tagalog
Tahitian			ty	Tahitian
Tajik			tg	Tajik
Talysh			tly	Talysh
Tamil			ta	Tamil
Taos			twf	Taos
Tarantino			roa-tar	Tarantino
Tarifit			rif	Tarifit
Tashelhit			shi	Tashelhit
Tat			ttt	Tat
Tatar			tt	Tatar
Tausug			tsg	Tausug
Telugu			te	Telugu
Ternate			tft	Ternate
Tetum			tet	Tetum
Thai			th	Thai
Thai	Northern Thai		nod	Northern Thai
Tibetan			bo	Tibetan
Tigrinya			ti	Tigrinya
Tocharian B			txb	Tocharian B
Tok Pisin			tpi	Tok Pisin
Tongan			to	Tongan
Tooro			ttj	Tooro
Tswana			tn	Tswana
Tumbuka			tum	Tumbuka
Turkish			tr	Turkish
Turkish	Ottoman Turkish		ota	Ottoman Turkish
Turkmen			tk	Turkmen
Tuvan			tyv	Tuvan
Tày			tyz	Tày
Udi			udi	Udi
Udmurt			udm	Udmurt
Ugaritic			uga	Ugaritic
Ukrainian			uk	Ukrainian
Unami			unm	Unami
Urdu			ur	Urdu
Uyghur			ug	Uyghur
Uzbek			uz	Uzbek
Uzbek	Cyrillic		uz_Cyrl	Uzbek: Cyrillic
Venetan			vec	Venetan
Veps			vep	Veps
Vietnamese			vi	Vietnamese
Vilamovian			wym	Vilamovian
Volapük			vo	Volapük
Votic			vot	Votic
Võro			vro	Võro
Walloon			wa	Walloon
Waray-Waray			war	Waray-Waray
Welsh			cy	Welsh
West Flemish			vls	West Flemish
Winnebago			win	Winnebago
Woiwurrung			wyi	Woiwurrung
Wolaytta			wal	Wolaytta
Wolof			wo	Wolof
Xhosa			xh	Xhosa
Yaghnobi			yai	Yaghnobi
Yakut			sah	Yakut
Yiddish			yi	Yiddish
Yoruba			yo	Yoruba
Yucatec Maya			yua	Yucatec Maya
Yup'ik			esu	Yup'ik
Yámana			yag	Yámana
Zazaki			zza	Zazaki
Zealandic			zea	Zealandic
Zhuang			za	Zhuang
Zulu			zu	Zulu
ǃXóõ			nmn	ǃXóõ
